SalesOrderNumber,SalesOrderLineNumber,CustomerKey,ProductKey,OrderDate,DueDate,ShipDate,SalesTerritoryKey,OrderQuantity,UnitPrice,ProductStandardCost,SalesAmount,TaxAmount,FreightAmount
SO49171,1,13865,375,1/1/2022,1/11/2022,1/8/2022,4,1,2181.5625,1320.6838,2181.5625,174.525,54.5391
SO49172,1,13885,368,1/1/2022,1/11/2022,1/8/2022,1,1,2443.35,1518.7864,2443.35,195.468,61.0838
SO49173,1,14047,352,1/1/2022,1/11/2022,1/8/2022,9,1,2071.4196,1117.8559,2071.4196,165.7136,51.7855
SO49174,1,14049,354,1/1/2022,1/11/2022,1/8/2022,9,1,2071.4196,1117.8559,2071.4196,165.7136,51.7855
SO49175,1,23431,370,1/1/2022,1/11/2022,1/8/2022,9,1,2443.35,1518.7864,2443.35,195.468,61.0838
SO49176,1,27054,356,1/1/2022,1/11/2022,1/8/2022,4,1,2071.4196,1117.8559,2071.4196,165.7136,51.7855
SO49177,1,27064,354,1/1/2022,1/11/2022,1/8/2022,1,1,2071.4196,1117.8559,2071.4196,165.7136,51.7855
SO49178,1,14342,387,1/1/2022,1/11/2022,1/8/2022,1,1,1000.4375,605.6492,1000.4375,80.035,25.0109
SO49179,1,14365,381,1/1/2022,1/11/2022,1/8/2022,4,1,1000.4375,605.6492,1000.4375,80.035,25.0109
SO49180,1,26744,333,1/1/2022,1/11/2022,1/8/2022,9,1,782.99,486.7066,782.99,62.6392,19.5748
SO49181,1,17890,375,1/2/2022,1/12/2022,1/9/2022,10,1,2181.5625,1320.6838,2181.5625,174.525,54.5391
SO49182,1,16830,369,1/2/2022,1/12/2022,1/9/2022,8,1,2443.35,1518.7864,2443.35,195.468,61.0838
SO49183,1,16944,370,1/2/2022,1/12/2022,1/9/2022,8,1,2443.35,1518.7864,2443.35,195.468,61.0838
SO49184,1,14129,362,1/2/2022,1/12/2022,1/9/2022,9,1,2049.0982,1105.81,2049.0982,163.9279,51.2275
SO49185,1,14134,362,1/2/2022,1/12/2022,1/9/2022,9,1,2049.0982,1105.81,2049.0982,163.9279,51.2275
SO49186,1,23526,370,1/2/2022,1/12/2022,1/9/2022,9,1,2443.35,1518.7864,2443.35,195.468,61.0838
SO49187,1,23545,379,1/2/2022,1/12/2022,1/9/2022,9,1,2181.5625,1320.6838,2181.5625,174.525,54.5391
SO49188,1,26815,358,1/2/2022,1/12/2022,1/9/2022,1,1,2049.0982,1105.81,2049.0982,163.9279,51.2275
SO49189,1,15525,341,1/2/2022,1/12/2022,1/9/2022,4,1,782.99,486.7066,782.99,62.6392,19.5748
SO49190,1,25033,383,1/2/2022,1/12/2022,1/9/2022,9,1,1000.4375,605.6492,1000.4375,80.035,25.0109
SO49191,1,19435,387,1/3/2022,1/13/2022,1/10/2022,10,1,1000.4375,605.6492,1000.4375,80.035,25.0109
SO49192,1,19040,387,1/3/2022,1/13/2022,1/10/2022,8,1,1000.4375,605.6492,1000.4375,80.035,25.0109
SO49193,1,29390,360,1/3/2022,1/13/2022,1/10/2022,7,1,2049.0982,1105.81,2049.0982,163.9279,51.2275
SO49194,1,20922,335,1/3/2022,1/13/2022,1/10/2022,10,1,782.99,486.7066,782.99,62.6392,19.5748
SO49195,1,20845,321,1/3/2022,1/13/2022,1/10/2022,8,1,782.99,486.7066,782.99,62.6392,19.5748
SO49196,1,12386,354,1/3/2022,1/13/2022,1/10/2022,8,1,2071.4196,1117.8559,2071.4196,165.7136,51.7855
SO49197,1,29415,360,1/3/2022,1/13/2022,1/10/2022,7,1,2049.0982,1105.81,2049.0982,163.9279,51.2275
SO49198,1,26662,343,1/3/2022,1/13/2022,1/10/2022,9,1,782.99,486.7066,782.99,62.6392,19.5748
SO49199,1,26667,337,1/3/2022,1/13/2022,1/10/2022,9,1,782.99,486.7066,782.99,62.6392,19.5748
SO49200,1,17889,368,1/4/2022,1/14/2022,1/11/2022,10,1,2443.35,1518.7864,2443.35,195.468,61.0838
SO49201,1,17795,370,1/4/2022,1/14/2022,1/11/2022,10,1,2443.35,1518.7864,2443.35,195.468,61.0838
SO49202,1,17829,375,1/4/2022,1/14/2022,1/11/2022,10,1,2181.5625,1320.6838,2181.5625,174.525,54.5391
SO49203,1,19343,331,1/4/2022,1/14/2022,1/11/2022,7,1,782.99,486.7066,782.99,62.6392,19.5748
SO49204,1,14103,352,1/4/2022,1/14/2022,1/11/2022,9,1,2071.4196,1117.8559,2071.4196,165.7136,51.7855
SO49205,1,14130,358,1/4/2022,1/14/2022,1/11/2022,9,1,2049.0982,1105.81,2049.0982,163.9279,51.2275
SO49206,1,23423,375,1/4/2022,1/14/2022,1/11/2022,9,1,2181.5625,1320.6838,2181.5625,174.525,54.5391
SO49207,1,23432,369,1/4/2022,1/14/2022,1/11/2022,9,1,2443.35,1518.7864,2443.35,195.468,61.0838
SO49208,1,23531,375,1/4/2022,1/14/2022,1/11/2022,9,1,2181.5625,1320.6838,2181.5625,174.525,54.5391
SO49209,1,23541,371,1/4/2022,1/14/2022,1/11/2022,9,1,2181.5625,1320.6838,2181.5625,174.525,54.5391
SO49210,1,21331,356,1/4/2022,1/14/2022,1/11/2022,6,1,2071.4196,1117.8559,2071.4196,165.7136,51.7855
SO49211,1,27020,354,1/4/2022,1/14/2022,1/11/2022,4,1,2071.4196,1117.8559,2071.4196,165.7136,51.7855
SO49212,1,14337,387,1/4/2022,1/14/2022,1/11/2022,1,1,1000.4375,605.6492,1000.4375,80.035,25.0109
SO49213,1,25034,387,1/4/2022,1/14/2022,1/11/2022,9,1,1000.4375,605.6492,1000.4375,80.035,25.0109
SO49214,1,23575,379,1/4/2022,1/14/2022,1/11/2022,9,1,2181.5625,1320.6838,2181.5625,174.525,54.5391
SO49215,1,15521,325,1/4/2022,1/14/2022,1/11/2022,4,1,782.99,486.7066,782.99,62.6392,19.5748
SO49216,1,26749,327,1/4/2022,1/14/2022,1/11/2022,9,1,782.99,486.7066,782.99,62.6392,19.5748
SO49217,1,15637,377,1/5/2022,1/15/2022,1/12/2022,7,1,2181.5625,1320.6838,2181.5625,174.525,54.5391
SO49218,1,26113,379,1/5/2022,1/15/2022,1/12/2022,6,1,2181.5625,1320.6838,2181.5625,174.525,54.5391
SO49219,1,12619,362,1/5/2022,1/15/2022,1/12/2022,10,1,2049.0982,1105.81,2049.0982,163.9279,51.2275
SO49220,1,14032,352,1/5/2022,1/15/2022,1/12/2022,9,1,2071.4196,1117.8559,2071.4196,165.7136,51.7855
SO49221,1,23532,379,1/5/2022,1/15/2022,1/12/2022,9,1,2181.5625,1320.6838,2181.5625,174.525,54.5391
SO49222,1,27078,352,1/5/2022,1/15/2022,1/12/2022,4,1,2071.4196,1117.8559,2071.4196,165.7136,51.7855
SO49223,1,27017,360,1/5/2022,1/15/2022,1/12/2022,1,1,2049.0982,1105.81,2049.0982,163.9279,51.2275
SO49224,1,27073,358,1/5/2022,1/15/2022,1/12/2022,1,1,2049.0982,1105.81,2049.0982,163.9279,51.2275
SO49225,1,17191,375,1/6/2022,1/16/2022,1/13/2022,8,1,2181.5625,1320.6838,2181.5625,174.525,54.5391
